Title,DOI,Country,Qualitative data methods,How the clinical trial Used Qualitative Data?,Barriers to the use of qualitative data,Raw qualitative data shared?,Where is the data shared?
What happens when pharmacist independent prescribers lead on medicine management in older people's care homes: a qualitative study,10.1136/bmjopen-2022-068678,"England, Scotland, Northern Ireland","Interviews, thematic analysis","Yes; qualitative data from semistructured interviews with pharmacists, GPs, and care home staff were analyzed thematically to understand perceptions of the pharmacist-led intervention's impact on medicine management and resident well-being.",Recruitment challenges with residents leading to absence of residents' voices; low response rates; not explicitly stated but implied challenges in recruitment and representation.,No,Not applicable
Recipient and instructor perspectives of an adapted exercise-based fall prevention programme for adults aged 50+ years with vision impairment: a qualitative study nested within a randomised controlled trial,10.1136/bmjopen-2020-038386,Australia,"Semistructured interviews, deductive qualitative analysis, behaviour change theory framework","Yes; qualitative data was used to investigate perspectives of instructors and recipients through semistructured interviews, and to document programme adaptations and training requirements using behaviour change theory for analysis.",Small sample size limiting generalisability; semistructured interview questions may not have elicited specific feedback; recruitment from one community organisation limiting generalisability.,No,Not applicable
Physiotherapy rehabilitation experiences of people with shoulder dislocation in ARTISAN study: a qualitative study,10.1136/bmjopen-2024-083975,UK,"semistructured interviews, thematic analysis, framework analysis",Yes; qualitative data was used to explore participants' experiences of rehabilitation through semistructured interviews analyzed thematically to understand patient perspectives and reasons behind clinical trial outcomes.,Shift from face-to-face to telephone interviews due to COVID-19 possibly affected depth of data; small sample size and specific context may limit transferability; inability to return transcripts to participants for checking; potential recall issues in older participants.,No,Not applicable
"A mixed methods, randomised controlled feasibility trial of Eye Movement Desensitisation and Reprocessing (EMDR) plus Standard Care (SC) vs. SC alone for DSM-5 Posttraumatic Stress Disorder (PTSD) in adults with intellectual disabilities (IDs)",10.1111/jar.12570,UK,Qualitative interviews,Yes; qualitative interviews were used to assess the acceptability and usefulness of EMDR treatment among participants.,Not mentioned,No,Not applicable
"Barriers and facilitators of loaded self-managed exercises and physical activity in people with patellofemoral pain: understanding the feasibility of delivering a multicentred randomised controlled trial, a UK qualitative study",10.1136/bmjopen-2018-023805,UK,"semi-structured interviews, framework approach, thematic analysis (implied)","Yes; qualitative data was used to explore barriers and facilitators to the intervention through interviews with patients and physiotherapists embedded within a feasibility RCT, providing insights into participant engagement, beliefs, and attitudes.",Not mentioned,No,Not applicable
Trial of intraoperative cell salvage versus transfusion in ovarian cancer (TIC TOC): protocol for a randomised controlled feasibility study,10.1136/bmjopen-2018-024108,UK,Qualitative interviews,Yes; qualitative interviews were used to capture participants' and clinicians' experiences of the study to inform feasibility and design of a larger trial.,Not mentioned,No,Not applicable
Factors associated with alcohol reduction in harmful and hazardous drinkers following alcohol brief intervention in Scotland: a qualitative enquiry,10.1186/s12913-017-2093-7,Scotland,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore participants' personal perspectives on alcohol, barriers and enablers to change following Alcohol Brief Intervention through interviews and thematic analysis.",Not mentioned,No,Not applicable
Whose knowledge counts? Involving communities in intervention and trial design using community conversations,10.1186/s13063-023-07320-1,Nigeria,"community conversations, focus groups, participatory learning and action activities, subgroup discussions",Yes; qualitative data was used to engage community members through community conversations and focus groups to explore perspectives on child health and inform the design of a pragmatic cluster randomised controlled trial.,Challenges include the need for appropriate resources and commitment to qualitative research in trials; small sample sizes and complexity of community power dynamics implied but not explicitly stated.,No,Not applicable
Combined electrical stimulation and exercise for swallow rehabilitation post-stroke: a pilot randomized control trial,10.1111/1460-6984.12359,UK,Patient-reported outcomes (questionnaires),Yes; qualitative data was used through patient-reported outcomes (Swallow Related Quality of Life - SWAL-QOL) questionnaires to capture patients' ratings of dysphagia impact and treatment tolerability.,Not mentioned,No,Not applicable
Experiences of recovery and a new care pathway for people with pain after total knee replacement: qualitative research embedded in the STAR trial,10.1186/s12891-022-05423-5,UK,"Semi-structured interviews, inductive thematic analysis",Yes; qualitative data was used to explore trial participants' experiences of postoperative pain and the acceptability of the STAR care pathway through interviews analyzed thematically.,Not mentioned,No,Not applicable
"Bronchiectasis Information and Education: a randomised, controlled feasibility trial",10.1186/s13063-020-4134-5,UK,"In-depth interviews, focus groups, qualitative data analysis","Yes; qualitative data was used to evaluate the acceptability of the trial and intervention, including participant feedback via focus groups and analysis of qualitative responses to refine the patient information resource.",Not mentioned,No,Not applicable
Improving cardiovascular disease risk communication in NHS Health Checks: a qualitative study,10.1136/bmjopen-2018-026058,UK,"Semi-structured interviews, Thematic analysis",Yes; qualitative data was used to explore patient perspectives and experiences of a personalised Risk Report designed to improve cardiovascular risk communication through semi-structured interviews analysed thematically.,"Limited transferability to other settings, language limitations (only English version), potential ambivalence of some participants, and challenges in ensuring benefits across diverse patient groups.",No,Not applicable
My back is fit for movement': A qualitative study alongside a randomised controlled trial for chronic low back pain,10.1016/j.jpain.2022.12.009,Australia,"semi-structured interviews, reflexive thematic analysis","Yes; qualitative data was used to explore participants' perceptions of facilitators and barriers to participation in the intervention, capturing emotional and cognitive responses to treatment acceptability and potential efficacy through interviews and thematic analysis.",Not mentioned,No,Not applicable
A qualitative feasibility study to inform a randomised controlled trial of fluid bolus therapy in septic shock,10.1136/archdischild-2016-312515,UK,"semistructured interviews, thematic analysis, constant comparative approach","Yes; qualitative data was used to explore parents' acceptability of the FiSh Trial, including research without prior consent, potential barriers to recruitment, and participant information materials, informing trial design and site staff training.",Not mentioned,No,Not applicable
Implementing a Non-Specialist Delivered Psychological Intervention for Young Adolescents in a Protracted Refugee Setting: a Qualitative Process Evaluation in Lebanon,10.1007/s11414-023-,Lebanon,"key informant interviews, focus groups, thematic analysis","Yes; qualitative data was used to conduct a process evaluation to understand stakeholder experiences, perceived impact of the intervention, and identify barriers and facilitators for implementation and scaling up.",Not mentioned,No,Not applicable
'The unexpected journey': a qualitative interview study exploring patient and health professionals experiences of participating in the knee arthroplasty versus joint distraction study (KARDS),10.1136/bmjopen-2023-083069,UK,"semi-structured interviews, thematic content analysis","Yes; qualitative data was used to explore experiences of patients, health professionals, and trial staff regarding participation in the KARDS trial through interviews and thematic analysis to identify key themes about recruitment, intervention delivery, and trial experience.",Small sample size due to early trial closure and recruitment challenges; limited data from only two sites; impact of COVID-19 on recruitment and delivery; not able to complete full planned process evaluation.,No,Not applicable
Older people's perception of being frail: a qualitative exploration,10.1186/s12877-024-05079-x,UK,"observations, semi-structured interviews, documentary analysis, thematic analysis","Yes; qualitative data was used to explore older people's perceptions and understanding of frailty through interviews, observations, and documentary analysis, analyzed thematically to gain insight into participants' views and experiences.",Not mentioned,No,Not applicable
Personalising psychotherapies for depression using a novel mixed methods approach: an example from Morita therapy,10.1186/s13063-019-3788-3,UK,"qualitative interviews, thematic analysis, development of typologies, participant vignettes","Yes; qualitative data was used to explore patients' views on treatment acceptability, develop typologies of participants' perspectives, and integrate these with quantitative adherence and response data to understand variability in treatment outcomes",Not mentioned,No,Not applicable
Process evaluation of two large randomized controlled trials to understand factors influencing family physicians' use of antibiotic audit and feedback reports,10.1186/s13012-024-01393-5,Canada,"One-on-one interviews, purposive sampling, inductive and deductive qualitative analysis",Yes; qualitative data was used in a process evaluation involving interviews with family physicians to explore mechanisms underlying the effects of audit and feedback interventions and understand contextual factors influencing prescribing behaviour.,Not mentioned,No,Not applicable
Diagnostic delays for breathlessness: a qualitative study in primary care to understand current care and inform future pathways,10.3399/BJGP.2022.0475,UK,"Semi-structured interviews, thematic analysis",Yes; qualitative data was used to explore patient and clinician experiences of chronic breathlessness and diagnostic delays through interviews and thematic analysis to identify key themes informing care pathways.,Not mentioned,No,Not applicable
"Office workers' experiences of attempts to reduce sitting-time: an exploratory, mixedmethods uncontrolled intervention pilot study",10.1186/s12889-019-7196-0,UK,"semi-structured interviews, thematic analysis","Yes; qualitative data from semi-structured interviews at 1, 6, and 12 weeks post-intervention were thematically analysed to explore participants' experiences, barriers, facilitators, and social context of sitting reduction.",Not mentioned,No,Not applicable
"Participant experiences of clean intermittent self-catheterisation, urinary tract infections and antibiotic use on the ANTIC trial: a qualitative study",10.1016/j.ijnurstu.2018.01.012,UK,"Semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore participant experiences and perceptions regarding clean intermittent self-catheterisation, urinary tract infections, and antibiotic use through semi-structured interviews and thematic analysis.",Not mentioned,No,Not applicable
Morita Therapy for depression (Morita Trial): a pilot randomised controlled trial,10.1136/bmjopen-2018-021605,UK,Not explicitly detailed in the provided text (likely interviews or mixed methods),"Yes; qualitative data was used alongside the pilot RCT as part of a mixed-methods programme to explore acceptability of Morita Therapy and its relation to treatment adherence, addressing procedural, methodological and clinical uncertainties.",Not mentioned,No,Not applicable
Designing and implementing two facilitation interventions within the 'Facilitating Implementation of Research Evidence (FIRE)' study: a qualitative analysis from an external facilitators' perspective,10.1186/s13012-018-0831-9and10.1186/s13012-018-0811-0,"England, Ireland, The Netherlands, Sweden","interviews, notes from teleconference meetings, thematic analysis, deductive and inductive data analysis","Yes; qualitative data was used to analyze the process of implementing facilitation interventions, including interviews with internal facilitators and notes from teleconferences to understand challenges in fidelity and adaptation of the interventions.",Not mentioned,No,Not applicable
